classe,desc_classe,desc_divisao,desc_grupo,desc_secao,desc_subclasse,divisao,grupo,secao,subclasse,cnpj
46214,46214 - COMERCIO ATACADISTA DE CAFE EM GRAO,"46 - COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS",462 - COMERCIO ATACADISTA DE MATERIAS-PRIMAS AGRICOLAS E ANIMAIS VIVOS,G - COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,4621400 - COMERCIO ATACADISTA DE CAFE EM GRAO,46,462,G,4621400,76255926000190
47296,47296 - COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE; PRODUTOS DO FUMO,47 - COMERCIO VAREJISTA,"472 - COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO",G - COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,4729699 - COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE,47,472,G,4729699,76255926000190
52117,52117 - ARMAZENAMENTO,52 - ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,"521 - ARMAZENAMENTO, CARGA E DESCARGA","H - TRANSPORTE, ARMAZENAGEM E CORREIO","5211799 - DEPOSITOS DE MERCADORIAS PARA TERCEIROS, EXCETO ARMAZENS GERAIS E GUARDA-MOVEIS",52,521,H,5211799,76255926000190
52125,52125 - CARGA E DESCARGA,52 - ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,"521 - ARMAZENAMENTO, CARGA E DESCARGA","H - TRANSPORTE, ARMAZENAGEM E CORREIO",5212500 - CARGA E DESCARGA,52,521,H,5212500,76255926000190
70204,70204 - ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL,70 - ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTAO EMPRESARIAL,702 - ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL,"M - ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS","7020400 - ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL, EXCETO CONSULTORIA TECNICA ESPECIFICA",70,702,M,7020400,76255926000190
01415,01415 - PRODUCAO DE SEMENTES CERTIFICADAS,"01 - AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS",014 - PRODUCAO DE SEMENTES E MUDAS CERTIFICADAS,"A - AGRICULTURA, PECUARIA, PRODUCAO FLORESTAL, PESCA E AQUICULTURA","0141501 - PRODUCAO DE SEMENTES CERTIFICADAS, EXCETO DE FORRAGEIRAS PARA PASTO",01,014,A,0141501,78907771000154
01610,01610 - ATIVIDADES DE APOIO A AGRICULTURA,"01 - AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS",016 - ATIVIDADES DE APOIO A AGRICULTURA E A PECUARIA; ATIVIDADES DE POS-COLHEITA,"A - AGRICULTURA, PECUARIA, PRODUCAO FLORESTAL, PESCA E AQUICULTURA",0161001 - SERVICO DE PULVERIZACAO E CONTROLE DE PRAGAS AGRICOLAS,01,016,A,0161001,78907771000154
01636,01636 - ATIVIDADES DE POS-COLHEITA,"01 - AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS",016 - ATIVIDADES DE APOIO A AGRICULTURA E A PECUARIA; ATIVIDADES DE POS-COLHEITA,"A - AGRICULTURA, PECUARIA, PRODUCAO FLORESTAL, PESCA E AQUICULTURA",0163600 - ATIVIDADES DE POS-COLHEITA,01,016,A,0163600,78907771000154
10660,10660 - FABRICACAO DE ALIMENTOS PARA ANIMAIS,10 - FABRICACAO DE PRODUTOS ALIMENTICIOS,"106 - MOAGEM, FABRICACAO DE PRODUTOS AMILACEOS E DE ALIMENTOS PARA ANIMAIS",C - INDUSTRIAS DE TRANSFORMACAO,1066000 - FABRICACAO DE ALIMENTOS PARA ANIMAIS,10,106,C,1066000,78907771000154
46117,46117 - REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MATERIAS-PRIMAS AGRICOLAS E ANIMAIS VIVOS,"46 - COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS","461 - REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO, EXCETO DE VEICULOS AUTOMOTORES E MOTOCICLETAS",G - COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,4611700 - REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MATERIAS-PRIMAS AGRICOLAS E ANIMAIS VIVOS,46,461,G,4611700,78907771000154
46231,"46231 - COMERCIO ATACADISTA DE ANIMAIS VIVOS, ALIMENTOS PARA ANIMAIS E MATERIAS-PRIMAS AGRICOLAS, EXCETO CAFE E SOJA","46 - COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS",462 - COMERCIO ATACADISTA DE MATERIAS-PRIMAS AGRICOLAS E ANIMAIS VIVOS,G - COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,"4623106 - COMERCIO ATACADISTA DE SEMENTES, FLORES, PLANTAS E GRAMAS",46,462,G,4623106,78907771000154
46320,"46320 - COMERCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS, FARINHAS, AMIDOS E FECULAS","46 - COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS","463 - COMERCIO ATACADISTA ESPECIALIZADO EM PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO",G - COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,4632001 - COMERCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS,46,463,G,4632001,78907771000154
46320,"46320 - COMERCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS, FARINHAS, AMIDOS E FECULAS","46 - COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS","463 - COMERCIO ATACADISTA ESPECIALIZADO EM PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO",G - COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,"4632003 - COMERCIO ATACADISTA DE CEREAIS E LEGUMINOSAS BENEFICIADOS, FARINHAS, AMIDOS E FECULAS, COM ATIVIDADE DE FRACIONAMENTO E ACONDICIONAMENTO ASSOCIADA",46,463,G,4632003,78907771000154
47890,47890 - COMERCIO VAREJISTA DE OUTROS PRODUTOS NOVOS NAO ESPECIFICADOS ANTERIORMENTE,47 - COMERCIO VAREJISTA,478 - COMERCIO VAREJISTA DE PRODUTOS NOVOS NAO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,G - COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,4789002 - COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS,47,478,G,4789002,78907771000154
52117,52117 - ARMAZENAMENTO,52 - ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,"521 - ARMAZENAMENTO, CARGA E DESCARGA","H - TRANSPORTE, ARMAZENAGEM E CORREIO","5211799 - DEPOSITOS DE MERCADORIAS PARA TERCEIROS, EXCETO ARMAZENS GERAIS E GUARDA-MOVEIS",52,521,H,5211799,78907771000154
71201,71201 - TESTES E ANALISES TECNICAS,71 - SERVICOS DE ARQUITETURA E ENGENHARIA; TESTES E ANALISES TECNICAS,712 - TESTES E ANALISES TECNICAS,"M - ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS",7120100 - TESTES E ANALISES TECNICAS,71,712,M,7120100,78907771000154
74901,"74901 - ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE","74 - OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS","749 - ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE","M - ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS",7490103 - SERVICOS DE AGRONOMIA E DE CONSULTORIA AS ATIVIDADES AGRICOLAS E PECUARIAS,74,749,M,7490103,78907771000154
26515,"26515 - FABRICACAO DE APARELHOS E EQUIPAMENTOS DE MEDIDA, TESTE E CONTROLE","26 - FABRICACAO DE EQUIPAMENTOS DE INFORMATICA, PRODUTOS ELETRONICOS E OPTICOS","265 - FABRICACAO DE APARELHOS E INSTRUMENTOS DE MEDIDA, TESTE E CONTROLE; CRONOMETROS E RELOGIOS",C - INDUSTRIAS DE TRANSFORMACAO,"2651500 - FABRICACAO DE APARELHOS E EQUIPAMENTOS DE MEDIDA, TESTE E CONTROLE",26,265,C,2651500,00138806000140
27317,27317 - FABRICACAO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUICAO E CONTROLE DE ENERGIA ELETRICA,"27 - FABRICACAO DE MAQUINAS, APARELHOS E MATERIAIS ELETRICOS",273 - FABRICACAO DE EQUIPAMENTOS PARA DISTRIBUICAO E CONTROLE DE ENERGIA ELETRICA,C - INDUSTRIAS DE TRANSFORMACAO,2731700 - FABRICACAO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUICAO E CONTROLE DE ENERGIA ELETRICA,27,273,C,2731700,00138806000140
32507,32507 - FABRICACAO DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO E ODONTOLOGICO E DE ARTIGOS OPTICOS,32 - FABRICACAO DE PRODUTOS DIVERSOS,325 - FABRICACAO DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO E ODONTOLOGICO E DE ARTIGOS OPTICOS,C - INDUSTRIAS DE TRANSFORMACAO,"3250701 - FABRICACAO DE INSTRUMENTOS NAO ELETRONICOS E UTENSILIOS PARA USO MEDICO, CIRURGICO, ODONTOLOGICO E DE LABORATORIO",32,325,C,3250701,00138806000140
32507,32507 - FABRICACAO DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO E ODONTOLOGICO E DE ARTIGOS OPTICOS,32 - FABRICACAO DE PRODUTOS DIVERSOS,325 - FABRICACAO DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO E ODONTOLOGICO E DE ARTIGOS OPTICOS,C - INDUSTRIAS DE TRANSFORMACAO,"3250701 - FABRICACAO DE INSTRUMENTOS NAO ELETRONICOS E UTENSILIOS PARA USO MEDICO, CIRURGICO, ODONTOLOGICO E DE LABORATORIO",32,325,C,3250701,00138806000140
32507,32507 - FABRICACAO DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO E ODONTOLOGICO E DE ARTIGOS OPTICOS,32 - FABRICACAO DE PRODUTOS DIVERSOS,325 - FABRICACAO DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO E ODONTOLOGICO E DE ARTIGOS OPTICOS,C - INDUSTRIAS DE TRANSFORMACAO,"3250701 - FABRICACAO DE INSTRUMENTOS NAO ELETRONICOS E UTENSILIOS PARA USO MEDICO, CIRURGICO, ODONTOLOGICO E DE LABORATORIO",32,325,C,3250701,00138806000140
32507,32507 - FABRICACAO DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO E ODONTOLOGICO E DE ARTIGOS OPTICOS,32 - FABRICACAO DE PRODUTOS DIVERSOS,325 - FABRICACAO DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO E ODONTOLOGICO E DE ARTIGOS OPTICOS,C - INDUSTRIAS DE TRANSFORMACAO,"3250701 - FABRICACAO DE INSTRUMENTOS NAO ELETRONICOS E UTENSILIOS PARA USO MEDICO, CIRURGICO, ODONTOLOGICO E DE LABORATORIO",32,325,C,3250701,00138806000140
33147,33147 - MANUTENCAO E REPARACAO DE MAQUINAS E EQUIPAMENTOS DA INDUSTRIA MECANICA,"33 - MANUTENCAO, REPARACAO E INSTALACAO DE MAQUINAS E EQUIPAMENTOS",331 - MANUTENCAO E REPARACAO DE MAQUINAS E EQUIPAMENTOS,C - INDUSTRIAS DE TRANSFORMACAO,3314799 - MANUTENCAO E REPARACAO DE OUTRAS MAQUINAS E EQUIPAMENTOS PARA USOS INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE,33,331,C,3314799,00138806000140
33210,33210 - INSTALACAO DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS,"33 - MANUTENCAO, REPARACAO E INSTALACAO DE MAQUINAS E EQUIPAMENTOS",332 - INSTALACAO DE MAQUINAS E EQUIPAMENTOS,C - INDUSTRIAS DE TRANSFORMACAO,3321000 - INSTALACAO DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS,33,332,C,3321000,00138806000140
46192,46192 - REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO,"46 - COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS","461 - REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO, EXCETO DE VEICULOS AUTOMOTORES E MOTOCICLETAS",G - COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,4619200 - REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO,46,461,G,4619200,00138806000140
46699,"46699 - COMERCIO ATACADISTA DE MAQUINAS, APARELHOS E EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE; PARTES E PECAS","46 - COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS","466 - COMERCIO ATACADISTA DE MAQUINAS, APARELHOS E EQUIPAMENTOS, EXCETO DE TECNOLOGIAS DE INFORMACAO E COMUNICACAO",G - COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,4669999 - COMERCIO ATACADISTA DE OUTRAS MAQUINAS E EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE; PARTES E PECAS,46,466,G,4669999,00138806000140
47890,47890 - COMERCIO VAREJISTA DE OUTROS PRODUTOS NOVOS NAO ESPECIFICADOS ANTERIORMENTE,47 - COMERCIO VAREJISTA,478 - COMERCIO VAREJISTA DE PRODUTOS NOVOS NAO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS,G - COMERCIO; REPARACAO DE VEICULOS AUTOMOTORES E MOTOCICLETAS,4789099 - COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,47,478,G,4789099,00138806000140
52117,52117 - ARMAZENAMENTO,52 - ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,"521 - ARMAZENAMENTO, CARGA E DESCARGA","H - TRANSPORTE, ARMAZENAGEM E CORREIO","5211799 - DEPOSITOS DE MERCADORIAS PARA TERCEIROS, EXCETO ARMAZENS GERAIS E GUARDA-MOVEIS",52,521,H,5211799,00138806000140
52125,52125 - CARGA E DESCARGA,52 - ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,"521 - ARMAZENAMENTO, CARGA E DESCARGA","H - TRANSPORTE, ARMAZENAGEM E CORREIO",5212500 - CARGA E DESCARGA,52,521,H,5212500,00138806000140
71120,71120 - SERVICOS DE ENGENHARIA,71 - SERVICOS DE ARQUITETURA E ENGENHARIA; TESTES E ANALISES TECNICAS,711 - SERVICOS DE ARQUITETURA E ENGENHARIA E ATIVIDADES TECNICAS RELACIONADAS,"M - ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS",7112000 - SERVICOS DE ENGENHARIA,71,711,M,7112000,00138806000140
71201,71201 - TESTES E ANALISES TECNICAS,71 - SERVICOS DE ARQUITETURA E ENGENHARIA; TESTES E ANALISES TECNICAS,712 - TESTES E ANALISES TECNICAS,"M - ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS",7120100 - TESTES E ANALISES TECNICAS,71,712,M,7120100,00138806000140
77390,77390 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE,77 - ALUGUEIS NAO IMOBILIARIOS E GESTAO DE ATIVOS INTANGIVEIS NAO FINANCEIROS,773 - ALUGUEL DE MAQUINAS E EQUIPAMENTOS SEM OPERADOR,N - ATIVIDADES ADMINISTRATIVAS E SERVICOS COMPLEMENTARES,"7739099 - ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR",77,773,N,7739099,00138806000140
86101,86101 - ATIVIDADES DE ATENDIMENTO HOSPITALAR,86 - ATIVIDADES DE ATENCAO A SAUDE HUMANA,861 - ATIVIDADES DE ATENDIMENTO HOSPITALAR,Q - SAUDE HUMANA E SERVICOS SOCIAIS,"8610101 - ATIVIDADES DE ATENDIMENTO HOSPITALAR, EXCETO PRONTO-SOCORRO E UNIDADES PARA ATENDIMENTO A URGENCIAS",86,861,Q,8610101,76256064000110
86305,86305 - ATIVIDADES DE ATENCAO AMBULATORIAL EXECUTADAS POR MEDICOS E ODONTOLOGOS,86 - ATIVIDADES DE ATENCAO A SAUDE HUMANA,863 - ATIVIDADES DE ATENCAO AMBULATORIAL EXECUTADAS POR MEDICOS E ODONTOLOGOS,Q - SAUDE HUMANA E SERVICOS SOCIAIS,8630502 - ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES,86,863,Q,8630502,76256064000110
86305,86305 - ATIVIDADES DE ATENCAO AMBULATORIAL EXECUTADAS POR MEDICOS E ODONTOLOGOS,86 - ATIVIDADES DE ATENCAO A SAUDE HUMANA,863 - ATIVIDADES DE ATENCAO AMBULATORIAL EXECUTADAS POR MEDICOS E ODONTOLOGOS,Q - SAUDE HUMANA E SERVICOS SOCIAIS,8630599 - ATIVIDADES DE ATENCAO AMBULATORIAL NAO ESPECIFICADAS ANTERIORMENTE,86,863,Q,8630599,76256064000110
86402,86402 - ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA,86 - ATIVIDADES DE ATENCAO A SAUDE HUMANA,864 - ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA,Q - SAUDE HUMANA E SERVICOS SOCIAIS,8640202 - LABORATORIOS CLINICOS,86,864,Q,8640202,76256064000110
86402,86402 - ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA,86 - ATIVIDADES DE ATENCAO A SAUDE HUMANA,864 - ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA,Q - SAUDE HUMANA E SERVICOS SOCIAIS,8640204 - SERVICOS DE TOMOGRAFIA,86,864,Q,8640204,76256064000110
86402,86402 - ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA,86 - ATIVIDADES DE ATENCAO A SAUDE HUMANA,864 - ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA,Q - SAUDE HUMANA E SERVICOS SOCIAIS,"8640205 - SERVICOS DE DIAGNOSTICO POR IMAGEM COM USO DE RADIACAO IONIZANTE, EXCETO TOMOGRAFIA",86,864,Q,8640205,76256064000110
86402,86402 - ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA,86 - ATIVIDADES DE ATENCAO A SAUDE HUMANA,864 - ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA,Q - SAUDE HUMANA E SERVICOS SOCIAIS,8640206 - SERVICOS DE RESSONANCIA MAGNETICA,86,864,Q,8640206,76256064000110
86402,86402 - ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA,86 - ATIVIDADES DE ATENCAO A SAUDE HUMANA,864 - ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA,Q - SAUDE HUMANA E SERVICOS SOCIAIS,"8640207 - SERVICOS DE DIAGNOSTICO POR IMAGEM SEM USO DE RADIACAO IONIZANTE, EXCETO RESSONANCIA MAGNETICA",86,864,Q,8640207,76256064000110
86402,86402 - ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA,86 - ATIVIDADES DE ATENCAO A SAUDE HUMANA,864 - ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA,Q - SAUDE HUMANA E SERVICOS SOCIAIS,"8640208 - SERVICOS DE DIAGNOSTICO POR REGISTRO GRAFICO - ECG, EEG E OUTROS EXAMES ANALOGOS",86,864,Q,8640208,76256064000110
86402,86402 - ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA,86 - ATIVIDADES DE ATENCAO A SAUDE HUMANA,864 - ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA,Q - SAUDE HUMANA E SERVICOS SOCIAIS,8640209 - SERVICOS DE DIAGNOSTICO POR METODOS OPTICOS - ENDOSCOPIA E OUTROS EXAMES ANALOGOS,86,864,Q,8640209,76256064000110
86500,"86500 - ATIVIDADES DE PROFISSIONAIS DA AREA DE SAUDE, EXCETO MEDICOS E ODONTOLOGOS",86 - ATIVIDADES DE ATENCAO A SAUDE HUMANA,"865 - ATIVIDADES DE PROFISSIONAIS DA AREA DE SAUDE, EXCETO MEDICOS E ODONTOLOGOS",Q - SAUDE HUMANA E SERVICOS SOCIAIS,8650001 - ATIVIDADES DE ENFERMAGEM,86,865,Q,8650001,76256064000110
86500,"86500 - ATIVIDADES DE PROFISSIONAIS DA AREA DE SAUDE, EXCETO MEDICOS E ODONTOLOGOS",86 - ATIVIDADES DE ATENCAO A SAUDE HUMANA,"865 - ATIVIDADES DE PROFISSIONAIS DA AREA DE SAUDE, EXCETO MEDICOS E ODONTOLOGOS",Q - SAUDE HUMANA E SERVICOS SOCIAIS,8650002 - ATIVIDADES DE PROFISSIONAIS DA NUTRICAO,86,865,Q,8650002,76256064000110
86500,"86500 - ATIVIDADES DE PROFISSIONAIS DA AREA DE SAUDE, EXCETO MEDICOS E ODONTOLOGOS",86 - ATIVIDADES DE ATENCAO A SAUDE HUMANA,"865 - ATIVIDADES DE PROFISSIONAIS DA AREA DE SAUDE, EXCETO MEDICOS E ODONTOLOGOS",Q - SAUDE HUMANA E SERVICOS SOCIAIS,8650003 - ATIVIDADES DE PSICOLOGIA E PSICANALISE,86,865,Q,8650003,76256064000110
86500,"86500 - ATIVIDADES DE PROFISSIONAIS DA AREA DE SAUDE, EXCETO MEDICOS E ODONTOLOGOS",86 - ATIVIDADES DE ATENCAO A SAUDE HUMANA,"865 - ATIVIDADES DE PROFISSIONAIS DA AREA DE SAUDE, EXCETO MEDICOS E ODONTOLOGOS",Q - SAUDE HUMANA E SERVICOS SOCIAIS,8650004 - ATIVIDADES DE FISIOTERAPIA,86,865,Q,8650004,76256064000110
